filename,actor_id,sentence_text,emotion_text,emotion_level_text
242bf35b-d645-4b55-8883-8c0f2d0c7cda,1001,Don't forget a jacket,Anger,Unspecified
d354d506-d72e-4987-9316-b6305f5cf8b4,1001,Don't forget a jacket,Disgust,Unspecified
cbf9bec5-0d82-439e-b483-2f686e5bfdbf,1001,Don't forget a jacket,Fear,Unspecified
24bf3753-f82e-43f9-9453-71381eb6b9ab,1001,Don't forget a jacket,Happy/Joy,Unspecified
af1f89ce-9d83-481a-8136-4afac33cec2a,1001,Don't forget a jacket,Neutral,Unspecified
a9664244-bc50-41e0-b6c6-a3028321ffab,1001,Don't forget a jacket,Sad,Unspecified
88abf1b2-d3c5-4af8-ac00-651cc5a91ff1,1001,It's eleven o'clock,Anger,High
b65acbd5-102b-4160-9261-2996d22539f6,1001,It's eleven o'clock,Anger,Low
1872fff6-08f9-44ad-85ee-e38046c9a512,1001,It's eleven o'clock,Anger,Medium
7ea9b509-7060-4f58-a64b-59beace72241,1001,It's eleven o'clock,Disgust,High
6b63a78f-b05d-4ebd-8a9c-0fb5eee8fd5d,1001,It's eleven o'clock,Disgust,Low
67c6a71f-896f-4910-b863-f533d84b8578,1001,It's eleven o'clock,Disgust,Medium
16a13c8f-2559-4dbd-9b55-61bb46eeb328,1001,It's eleven o'clock,Fear,High
e542c137-5de7-495d-a8c6-1b475d3c4873,1001,It's eleven o'clock,Fear,Low
f3088c16-a46e-48ef-b927-0427e524c652,1001,It's eleven o'clock,Fear,Medium
0c97cbf7-bd29-4b18-8d30-e3a4b7048aae,1001,It's eleven o'clock,Happy/Joy,High
5146953f-a175-4880-adb5-8f959e8113f2,1001,It's eleven o'clock,Happy/Joy,Low
f8b0e9b0-4738-4c77-b754-0ad70b0a2d61,1001,It's eleven o'clock,Happy/Joy,Medium
710895ad-6687-42d0-87c7-04e080a6b9d9,1001,It's eleven o'clock,Neutral,Unspecified
0340af63-67e1-4075-8eae-106de384aef3,1001,It's eleven o'clock,Sad,High
cc2a5b55-75f5-4a6e-9018-43d0a848fe5a,1001,It's eleven o'clock,Sad,Low
6c87aeb1-41cf-4738-98df-c896258b1e32,1001,It's eleven o'clock,Sad,Medium
7a30188c-38ca-4a76-b614-425f4f23b679,1001,I'm on my way to the meeting,Anger,Unspecified
1300d673-c1ff-4679-b018-3b96db152dfc,1001,I'm on my way to the meeting,Disgust,Unspecified
6c73a80e-1c6b-46f9-baf7-acb8dc9bf3fe,1001,I'm on my way to the meeting,Fear,Unspecified
44f8b585-b619-4868-b95f-219630abda57,1001,I'm on my way to the meeting,Happy/Joy,Unspecified
e069bd97-4792-48c8-8cf1-94dc83d81bea,1001,I'm on my way to the meeting,Neutral,Unspecified
dd2ead4b-b783-445b-a27f-1803b9109ab2,1001,I'm on my way to the meeting,Sad,Unspecified
8fb2ff9f-de18-4eed-b954-b4b70b77230e,1001,I think I have a doctor's appointment,Anger,Unspecified
5ceac43b-8adf-4ea9-98cb-12c7d150e2a7,1001,I think I have a doctor's appointment,Disgust,Unspecified
66cd07c7-2d11-40c6-bbdb-d35b242c7dbc,1001,I think I have a doctor's appointment,Fear,Unspecified
8fa7dc50-86b4-4f09-8ca6-e1b2933ae22f,1001,I think I have a doctor's appointment,Happy/Joy,Unspecified
05b25fbb-220b-436b-8897-7b67be0581ed,1001,I think I have a doctor's appointment,Neutral,Unspecified
